s_label	Genus	Species	subspecies	Strain	Accn_n	gss_label	lifestyle	Fermentation_type	which_sequence	seq_abbr	group_16S	group_color	outgroup
Acetilactobacillus_jinshanensis	Acetilactobacillus	jinshanensis	NA	HSLZ-75	KT783533	Acetilactobacillus jinshanensis	Unknown	HE	LPSN	Acetil_jin_HSLZ-75	3	#CC5404	Lactip_pla_pla_DSMZ_20174
Agrilactobacillus_composti	Agrilactobacillus	composti	NA	NRIC_0689	AB268118	Agrilactobacillus composti	Free Living	HO	LPSN	Agrila_com_NRIC_0689	9	#00B247	Lactob_del_bul_DSM20081(T)
Agrilactobacillus_yilanensis	Agrilactobacillus	yilanensis	NA	54-2	MK110806	Agrilactobacillus yilanensis	Free Living	HO	LPSN	Agrila_yil_54-2	9	#00B247	Lactob_del_bul_DSM20081(T)
Amylolactobacillus_amylophilus	Amylolactobacillus	amylophilus	NA	JCM_1125	AB289028	Amylolactobacillus amylophilus	Unknown	HO	refseq	Amylol_amy_JCM_1125	8	#266600	Lapidi_con_JCM_14153
Amylolactobacillus_amylotrophicus	Amylolactobacillus	amylotrophicus	NA	JCM_1124	AB289027	Amylolactobacillus amylotrophicus	Unknown	HO	refseq	Amylol_amy_JCM_1124	8	#266600	Lapidi_con_JCM_14153
Apilactobacillus_apinorum	Apilactobacillus	apinorum	NA	Fhon13N	JX099541	Apilactobacillus apinorum	Insect	HE	LPSN	Apilac_api_Fhon13N	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_apisilvae	Apilactobacillus	apisilvae	NA	SG5_A10	OM986478	Apilactobacillus apisilvae	Insect	HE	LPSN	Apilac_apis__SG5_A10	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_bombintestini	Apilactobacillus	bombintestini	NA	BHWM-4	CP032626	Apilactobacillus bombintestini	NA	HE	LPSN	Apilac_bom_BHWM-4	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_kunkeei	Apilactobacillus	kunkeei	NA	strain_YH-15	Y11374	Apilactobacillus kunkeei	Insect	HE	LPSN	Apilac_kun_strain_YH-15	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_micheneri	Apilactobacillus	micheneri	NA	Hlig3	KT833121	Apilactobacillus micheneri	Insect	HE	LPSN	Apilac_mic_Hlig3	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_nanyangensis	Apilactobacillus	nanyangensis	NA	HN36-1	LC597577	Apilactobacillus nanyangensis	NA	HE	LPSN	Apilac_nan_HN36-1	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_ozensis	Apilactobacillus	ozensis	NA	strain_Mizu2-1	AB572588	Apilactobacillus ozensis	Insect	HE	LPSN	Apilac_oze_strain_Mizu2-1	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_quenuiae	Apilactobacillus	quenuiae	NA	HV_6	KX656667	Apilactobacillus quenuiae	Insect	HE	LPSN	Apilac_que_HV_6	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_timberlakei	Apilactobacillus	timberlakei	NA	HV_12	KX656650	Apilactobacillus timberlakei	Insect	HE	LPSN	Apilac_tim_HV_12	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_xinyiensis	Apilactobacillus	xinyiensis	NA	F575-4	LC634436	Apilactobacillus xinyiensis	Insect	HE	LPSN	Aplilac_xin_F575-4	4	#A54408	Lactip_pla_pla_DSMZ_20174
Apilactobacillus_zhangqiuensis	Apilactobacillus	zhangqiuensis	NA	F502-1	LC634435	Apilactobacillus zhangqiuensis	Insect	HE	LPSN	Apilac_zha_F502-1	4	#A54408	Lactip_pla_pla_DSMZ_20174
Bombilactobacillus_apium	Bombilactobacillus	apium	NA	D_CY120	MN709051	Bombilactobacillus apium	NA	HO	LPSN	Bombil_api_D_CY120	8	#74C476	Lapidi_con_JCM_14153
Bombilactobacillus_bombi	Bombilactobacillus	bombi	NA	BTLCH_M1/2	KJ078643	Bombilactobacillus bombi	Insect	HO	LPSN	Bombil_bom_BTLCH_M1/2	8	#74C476	Lapidi_con_JCM_14153
Bombilactobacillus_folatiphilus	Bombilactobacillus	folatiphilus	NA	SG4_D2	OM986477	Bombilactobacillus folatiphilus	Insect	HO	LPSN	Bombil_fol_SG4_D2	8	#74C476	Lapidi_con_JCM_14153
Bombilactobacillus_mellifer	Bombilactobacillus	mellifer	NA	Bin4N	JX099543	Bombilactobacillus mellifer	Insect	HO	LPSN	Bombil_mel_Bin4N	8	#74C476	Lapidi_con_JCM_14153
Bombilactobacillus_mellis	Bombilactobacillus	mellis	NA	Hon2N	JX099545	Bombilactobacillus mellis	Insect	HO	LPSN	Bombil_mel_Hon2N	8	#74C476	Lapidi_con_JCM_14153
Bombilactobacillus_thymidiniphilus	Bombilactobacillus	thymidiniphilus	NA	SG4_A1	OM986476	Bombilactobacillus thymidiniphilus	Insect	HO	LPSN	Bombil_thy_SG4_A1	8	#74C476	Lapidi_con_JCM_14153
Carnobacterium_maltaromaticum	Carnobacterium	maltaromaticum	NA	ATCC_27865	JF749288	Carnobacterium maltaromaticum	Unknown	HO	refseq	Carnob_mal_ATCC_27865	13	#000000	Periwe_gha_LMG_24286
Companilactobacillus_alimentarius	Companilactobacillus	alimentarius	NA	JCM_1095	AB289025	Companilactobacillus alimentarius	Unknown	HO	refseq	Compan_ali_JCM_1095	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_allii	Companilactobacillus	allii	NA	WiKim39	KY419164	Companilactobacillus allii	Unknown	HO	LPSN	Compan_all_WiKim39	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_baiquanensis	Companilactobacillus	baiquanensis	NA	184-8	MK110828	Companilactobacillus baiquanensis	Unknown	HO	LPSN	Compan_bai_184-8	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_bobalius	Companilactobacillus	bobalius	NA	strain_203	AY681134	Companilactobacillus bobalius	Unknown	HO	LPSN	Compan_bob_strain_203	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_crustorum	Companilactobacillus	crustorum	NA	LMG_23699	AM285450	Companilactobacillus crustorum	Unknown	HO	LPSN	Compan_cru_LMG_23699	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_farciminis	Companilactobacillus	farciminis	NA	JCM_1097	AB289103	Companilactobacillus farciminis	Unknown	HO	refseq	Compan_far_JCM_1097	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_formosensis	Companilactobacillus	formosensis	NA	S215	AB794060	Companilactobacillus formosensis	Unknown	HO	LPSN	Compan_for_S215	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_furfuricola	Companilactobacillus	furfuricola	NA	JCM_18764	AB910349	Companilactobacillus furfuricola	Unknown	HO	LPSN	Compan_fur_JCM_18764	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_futsaii	Companilactobacillus	futsaii	NA	YM_0097	HQ322270	Companilactobacillus futsaii	Unknown	HO	LPSN	Compan_fut_YM_0097	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_ginsenosidimutans	Companilactobacillus	ginsenosidimutans	NA	EMML_3041	HQ389549	Companilactobacillus ginsenosidimutans	Unknown	HO	LPSN	Compan_gin_EMML_3041	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_halodurans	Companilactobacillus	halodurans	NA	TMW_1.2172	MK968448	Companilactobacillus halodurans	Unknown	HO	LPSN	Compan_hal_TMW_1.2172	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_heilongjiangensis	Companilactobacillus	heilongjiangensis	NA	S4-3	JF411966	Companilactobacillus heilongjiangensis	Unknown	HO	LPSN	Compan_hei_S4-3	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_huachuanensis	Companilactobacillus	huachuanensis	NA	395-6.2	LC438522	Companilactobacillus huachuanensis	Unknown	HO	LPSN	Compan_hua_395-6.2	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_hulinensis	Companilactobacillus	hulinensis	NA	8-1(1)	MK110830	Companilactobacillus hulinensis	Unknown	HO	LPSN	Compan_hul_8-1(1)	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_insicii	Companilactobacillus	insicii	NA	TMW_1.2011	KP677494	Companilactobacillus insicii	Unknown	HO	LPSN	Compan_ins_TMW_1.2011	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_jidongensis	Companilactobacillus	jidongensis	NA	204-8	MK110829	Companilactobacillus jidongensis	Unknown	HO	LPSN	Compan_jid_204-8	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_kedongensis	Companilactobacillus	kedongensis	NA	116-2	MK110817	Companilactobacillus kedongensis	Unknown	HO	LPSN	Compan_ked_116-2	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_keshanensis	Companilactobacillus	keshanensis	NA	33-7	MK110816	Companilactobacillus keshanensis	Unknown	HO	LPSN	Compan_kes_33-7	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_kimchiensis	Companilactobacillus	kimchiensis	NA	strain_L133	HQ906500	Companilactobacillus kimchiensis	Unknown	HO	LPSN	Compan_kim_strain_L133	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_kimchii	Companilactobacillus	kimchii	NA	AP1077	AF183558	Companilactobacillus kimchii	Unknown	HO	LPSN	Compan_kim_AP1077	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_metriopterae	Companilactobacillus	metriopterae	NA	Hime_5-1	LC190736	Companilactobacillus metriopterae	Unknown	HO	LPSN	Compan_met_Hime_5-1	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_mindensis	Companilactobacillus	mindensis	NA	JCM_12532	AB289203	Companilactobacillus mindensis	Unknown	HO	refseq	Compan_min_JCM_12532	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_mishanensis	Companilactobacillus	mishanensis	NA	256-3	MK110831	Companilactobacillus mishanensis	Unknown	HO	LPSN	Compan_mis_256-3	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_musae	Companilactobacillus	musae	NA	313	LC184607	Companilactobacillus musae	Unknown	HO	LPSN	Compan_mus_313	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_nantensis	Companilactobacillus	nantensis	NA	JCM_16171	LC258154	Companilactobacillus nantensis	Unknown	HO	LPSN	Compan_nan_JCM_16171	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_nodensis	Companilactobacillus	nodensis	NA	iz4b-1	AB332024	Companilactobacillus nodensis	Unknown	HO	LPSN	Compan_nod_iz4b-1	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_nuruki	Companilactobacillus	nuruki	NA	SYF10-1a	KY711184	Companilactobacillus nuruki	Unknown	HO	LPSN	Compan_nur_SYF10-1a	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_pabuli	Companilactobacillus	pabuli	NA	NFFJ11	MT114679	Companilactobacillus pabuli	NA	HO	LPSN	Compan_pab_NFFJ11	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_paralimentarius	Companilactobacillus	paralimentarius	NA	JCM_10415	AB289234	Companilactobacillus paralimentarius	Unknown	HO	refseq	Compan_par_JCM_10415	1	#330000	Lapidi_con_JCM_14153
