s_label	Kingdom	Phylum	Class	Order	Family	Genus	Species
Candidatus Aenigmarchaeum	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Aenigmarchaeales fa	Candidatus Aenigmarchaeum	
Candidatus Protistobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiales fa	Candidatus Protistobacter	
Thioprofundaceae	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioprofundaceae		
TC1	Bacteria	Firmicutes	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriales fa	TC1	
Desulfatiferula	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacterales fa	Desulfatiferula	
Candidatus Spiroplasma	Bacteria	Firmicutes	Bacilli	Entomoplasmatales	Entomoplasmatales fa	Candidatus Spiroplasma	
Gracilibacteraceae	Bacteria	Firmicutes	Clostridia	Eubacteriales	Gracilibacteraceae		
Alkalibaculum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales fa	Alkalibaculum	
Marinibaculum	Bacteria	Proteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionales fa	Marinibaculum	
Taonella	Bacteria	Proteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionales fa	Taonella	
uncultured Ferrovibrionales	Bacteria	Proteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionales fa	uncultured Ferrovibrionales	
BBMC-4	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacterales fa	BBMC-4	
Chitinispirillum	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacterales fa	Chitinispirillum	
Gelria	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Gelria	
Gracilibacter	Bacteria	Firmicutes	Clostridia	Clostridia or	Gracilibacteraceae	Gracilibacter	
Lutispora	Bacteria	Firmicutes	Clostridia	Clostridia or	Gracilibacteraceae	Lutispora	
uncultured Gracilibacteraceae	Bacteria	Firmicutes	Clostridia	Clostridia or	Gracilibacteraceae	uncultured Gracilibacteraceae	
Methylohalomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Ectothiorhodospiraceae	Methylohalomonas	
Hadarchaeales	Archaea	Hadarchaeota	Hadarchaeia	Hadarchaeales			
uncultured Halobacterales	Archaea	Halobacterota	Halobacteria	Halobacterales	uncultured Halobacterales fa	uncultured Halobacterales	
Candidatus Iainarchaeum	Archaea	Iainarchaeota	Iainarchaeia	Iainarchaeales	Iainarchaeales fa	Candidatus Iainarchaeum	
Marine Group III	Archaea	Thermoplasmatota	Thermoplasmata	Marine Group III			
uncultured Methanocellales	Archaea	Halobacterota	Methanocellia	Methanocellales	Methanocellales fa	uncultured Methanocellales	
uncultured Methanomicrobiales	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanomicrobiales fa	uncultured Methanomicrobiales	
Candidatus Micrarchaeum	Archaea	Micrarchaeota	Micrarchaeia	Micrarchaeales	Micrarchaeales fa	Candidatus Micrarchaeum	
Hydrogenoanaerobacterium	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospirales fa	Hydrogenoanaerobacterium	
