id	new_id	new_species	new_genus	new_family
Clostridium sensu stricto 1 baratii	Clostridium baratii	Clostridium baratii	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 baratii	Clostridium baratii	Clostridium baratii	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 beijerinckii	Clostridium beijerincki	Clostridium beijerincki	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 beijerinckii	Clostridium beijerincki	Clostridium beijerincki	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 botulinum	Clostridium botulinum	Clostridium botulinum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 botulinum	Clostridium botulinum	Clostridium botulinum	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 butyricum	Clostridium butyricum	Clostridium butyricum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 butyricum	Clostridium butyricum	Clostridium butyricum	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 chartatabidum	Clostridium chartatabidum	Clostridium chartatabidum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 chartatabidum	Clostridium chartatabidum	Clostridium chartatabidum	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 chauvoei	Clostridium chauvoei	Clostridium chauvoei	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 chauvoei	Clostridium chauvoei	Clostridium chauvoei	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 chromiireducens	Clostridium chromiireducens	Clostridium chromiireducens	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 chromiireducens	Clostridium chromiireducens	Clostridium chromiireducens	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 colicanis	Clostridium colicanis	Clostridium colicanis	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 colicanis	Clostridium colicanis	Clostridium colicanis	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 disporicum	Clostridium disporicum	Clostridium disporicum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 disporicum	Clostridium disporicum	Clostridium disporicum	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 gasigenes	Clostridium gasigenes	Clostridium gasigenes	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 gasigenes	Clostridium gasigenes	Clostridium gasigenes	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 isatidis	Clostridium isatidis	Clostridium isatidis	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 isatidis	Clostridium isatidis	Clostridium isatidis	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 longisporum	Clostridium longisporum	Clostridium longisporum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 longisporum	Clostridium longisporum	Clostridium longisporum	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 neonatale	Clostridium neonatale	Clostridium neonatale	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 neonatale	Clostridium neonatale	Clostridium neonatale	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 nigeriense	Clostridium nigeriense	Clostridium nigeriense	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 nigeriense	Clostridium nigeriense	Clostridium nigeriense	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 paraputrificum	Clostridium paraputrificum	Clostridium paraputrificum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 paraputrificum	Clostridium paraputrificum	Clostridium paraputrificum	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 perfringens	Clostridium perfringens	Clostridium perfringens	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 perfringens	Clostridium perfringens	Clostridium perfringens	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 puniceum	Clostridium puniceum	Clostridium puniceum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 puniceum	Clostridium puniceum	Clostridium puniceum	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 saccharobutylicum	Clostridium saccharobutylicum	Clostridium saccharobutylicum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 saccharobutylicum	Clostridium saccharobutylicum	Clostridium saccharobutylicum	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 tertium	Clostridium tertium	Clostridium tertium	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 tertium	Clostridium tertium	Clostridium tertium	Clostridium	Clostridiaceae
Clostridium sensu stricto 1 vincentii	Clostridium vincentii	Clostridium vincentii	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_1 vincentii	Clostridium vincentii	Clostridium vincentii	Clostridium	Clostridiaceae
Clostridium sensu stricto 11 senegalense	Clostridium senegalense	Clostridium senegalense	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_11 senegalense	Clostridium senegalense	Clostridium senegalense	Clostridium	Clostridiaceae
Clostridium sensu stricto 12 arbusti	Clostridium arbusti	Clostridium arbusti	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_12 arbusti	Clostridium arbusti	Clostridium arbusti	Clostridium	Clostridiaceae
Clostridium sensu stricto 12 kluyveri	Clostridium kluyveri	Clostridium kluyveri	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_12 kluyveri	Clostridium kluyveri	Clostridium kluyveri	Clostridium	Clostridiaceae
Clostridium sensu stricto 12 luticellarii	Clostridium luticellarii	Clostridium luticellarii	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_12 luticellarii	Clostridium luticellarii	Clostridium luticellarii	Clostridium	Clostridiaceae
Clostridium sensu stricto 12 magnum	Clostridium magnum	Clostridium magnum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_12 magnum	Clostridium magnum	Clostridium magnum	Clostridium	Clostridiaceae
Clostridium sensu stricto 12 tyrobutyricum	Clostridium tyrobutyricum	Clostridium tyrobutyricum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_12 tyrobutyricum	Clostridium tyrobutyricum	Clostridium tyrobutyricum	Clostridium	Clostridiaceae
Clostridium sensu stricto 13 punense	Clostridium punense	Clostridium punense	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_13 punense	Clostridium punense	Clostridium punense	Clostridium	Clostridiaceae
Clostridium sensu stricto 13 subterminale	Clostridium subterminale	Clostridium subterminale	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_13 subterminale	Clostridium subterminale	Clostridium subterminale	Clostridium	Clostridiaceae
Clostridium sensu stricto 15 cochlearium	Clostridium cochlearium	Clostridium cochlearium	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_15 cochlearium	Clostridium cochlearium	Clostridium cochlearium	Clostridium	Clostridiaceae
Clostridium sensu stricto 15 tetani	Clostridium tetani	Clostridium tetani	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_15 tetani	Clostridium tetani	Clostridium tetani	Clostridium	Clostridiaceae
Clostridium sensu stricto 16 malenominatum	Clostridium malenominatum	Clostridium malenominatum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_16 malenominatum	Clostridium malenominatum	Clostridium malenominatum	Clostridium	Clostridiaceae
Clostridium sensu stricto 18 oceanicum	Clostridium oceanicum	Clostridium oceanicum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_18 oceanicum	Clostridium oceanicum	Clostridium oceanicum	Clostridium	Clostridiaceae
Clostridium sensu stricto 2 cadaveris	Clostridium cadaveris	Clostridium cadaveris	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_2 cadaveris	Clostridium cadaveris	Clostridium cadaveris	Clostridium	Clostridiaceae
Clostridium sensu stricto 2 frigidicarnis	Clostridium frigidicarnis	Clostridium frigidicarnis	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_2 frigidicarnis	Clostridium frigidicarnis	Clostridium frigidicarnis	Clostridium	Clostridiaceae
Clostridium sensu stricto 2 hydrogeniformans	Clostridium hydrogeniformans	Clostridium hydrogeniformans	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_2 hydrogeniformans	Clostridium hydrogeniformans	Clostridium hydrogeniformans	Clostridium	Clostridiaceae
Clostridium sensu stricto 3 intestinale	Clostridium intestinale	Clostridium intestinale	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_3 intestinale	Clostridium intestinale	Clostridium intestinale	Clostridium	Clostridiaceae
Clostridium sensu stricto 4 neonatale	Clostridium neonatale	Clostridium neonatale	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_4 neonatale	Clostridium neonatale	Clostridium neonatale	Clostridium	Clostridiaceae
Clostridium sensu stricto 5 algidicarnis	Clostridium algidicarnis	Clostridium algidicarnis	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_5 algidicarnis	Clostridium algidicarnis	Clostridium algidicarnis	Clostridium	Clostridiaceae
Clostridium sensu stricto 5 amazonitimonense	Clostridium amazonitimonense	Clostridium amazonitimonense	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_5 amazonitimonense	Clostridium amazonitimonense	Clostridium amazonitimonense	Clostridium	Clostridiaceae
Clostridium sensu stricto 5 cavendishii	Clostridium cavendishii	Clostridium cavendishii	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_5 cavendishii	Clostridium cavendishii	Clostridium cavendishii	Clostridium	Clostridiaceae
Clostridium sensu stricto 5 putrefaciens	Clostridium putrefaciens	Clostridium putrefaciens	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_5 putrefaciens	Clostridium putrefaciens	Clostridium putrefaciens	Clostridium	Clostridiaceae
Clostridium sensu stricto 6 bornimense	Clostridium bornimense	Clostridium bornimense	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_6 bornimense	Clostridium bornimense	Clostridium bornimense	Clostridium	Clostridiaceae
Clostridium sensu stricto 6 cellulovorans	Clostridium cellulovorans	Clostridium cellulovorans	Spirochaeta	Spirochaetaceae
Clostridium_sensu_stricto_6 cellulovorans	Clostridium cellulovorans	Clostridium cellulovorans	Spirochaeta	Spirochaetaceae
Clostridium sensu stricto 7 novyi	Clostridium novyi	Clostridium novyi	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_7 novyi	Clostridium novyi	Clostridium novyi	Clostridium	Clostridiaceae
Clostridium sensu stricto 7 thermobutyricum	Clostridium thermobutyricum	Clostridium thermobutyricum	Clostridium	Clostridiaceae
