"OTU"	"s.SRR1759381"	"s.SRR1759382"	"s.SRR1759383"	"s.SRR1759384"	"s.SRR1759385"	"s.SRR1759386"	"s.SRR1759387"	"s.SRR1759388"	"s.SRR1759389"	"s.SRR1759390"	"s.SRR1759391"	"s.SRR1759392"	"s.SRR1759393"	"s.SRR1759394"	"s.SRR1759395"	"s.SRR1759396"	"s.SRR1759397"	"s.SRR1759398"	"s.SRR1759399"	"s.SRR1759400"	"s.SRR1759401"	"s.SRR1759402"	"s.SRR1759403"	"s.SRR1759404"	"s.SRR1759405"	"s.SRR1759406"	"s.SRR1759407"	"s.SRR1759408"	"s.SRR1759409"
"Flavobacterium"	164	0	93	0	0	0	0	0	0	11	11	3	0	0	0	0	0	24	0	0	0	0	0	0	8	4	0	9	0
"Enterococcaceae"	25	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	24	0	0	0	0	0	0	0	0	0	0	0
"Enterococcus"	367	35	21	0	0	0	0	0	0	351	242	24	69	243	215	732	10	371	0	0	0	0	0	0	0	0	0	0	0
"Enterococcus faecium"	23	0	0	0	0	0	0	0	0	83	44	0	0	32	0	72	0	91	0	12	0	0	0	0	0	0	0	0	0
"Leuconostoc"	93	163	707	0	0	0	0	0	0	254	277	271	379	393	198	23	23	27	0	0	0	0	9	0	0	5	0	0	0
"Lactococcus"	35	419	96	32	39	16	0	78	74	0	7	12	19	18	10	79	157	53	0	5	0	0	19	9	14	16	0	100	5
"Lactococcus lactis"	111	441	20	76	90	261	211	78	48	23	19	167	206	70	23	29	120	23	3	33	0	0	0	0	0	0	42	8	0
"Lactococcus piscium"	192	137	1233	0	0	0	14	0	0	67	44	123	134	77	53	133	157	0	0	0	32	0	0	21	48	56	0	65	0
"Streptococcus"	326	10	0	1350	1582	2086	1499	2861	2934	156	150	214	238	205	63	1667	1987	375	230	1895	2625	2644	2659	6781	3684	3359	4569	3979	3489
"Acinetobacter"	2	56	0	22	30	0	11	0	0	0	0	0	0	0	0	0	0	4	6	62	14	0	0	31	53	60	0	0	8
"Pseudomonas"	22	140	579	187	50	13	8	6	0	66	50	40	12	0	0	176	30	674	2903	349	32	90	138	725	138	41	0	95	122
"Carnobacterium maltaromaticum"	9	118	101	0	0	0	0	0	0	3	0	0	0	0	0	18	57	0	0	0	0	20	0	0	71	62	0	0	0
"Carnobacterium divergens"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	2	0	0	0	0	0
"Acinetobacter albensis"	46	79	25	39	22	17	0	23	0	15	9	0	0	0	0	43	0	30	0	0	90	78	0	0	54	36	0	26	0
"Chryseobacterium"	0	28	18	0	0	61	0	27	23	10	10	47	51	0	40	22	62	0	0	0	0	0	0	0	15	2	0	0	0
"Enterococcus faecalis"	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Macrococcus caseolyticus"	0	119	0	0	0	0	0	0	0	0	0	8	11	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0
"Staphylococcus"	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lactococcus garvieae"	0	73	0	0	0	0	0	0	0	14	11	32	66	22	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0
"Lactococcus raffinolactis"	0	914	90	0	0	0	0	25	14	32	29	66	60	34	24	76	0	0	0	0	0	0	0	10	0	7	0	0	4
"Enterobacteriaceae"	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acinetobacter johnsonii"	0	118	0	38	0	0	0	0	37	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
"Enhydrobacter"	0	106	0	0	0	9	0	0	3	0	0	33	41	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
"Pseudomonas fragi"	0	53	39	0	0	0	0	0	0	0	15	0	25	0	16	94	0	0	0	0	0	0	0	27	97	132	0	90	0
"Acinetobacter bohemicus"	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	3	0
"Enterobacterales"	0	33	11	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	10	0
"Chryseobacterium carnipullorum"	0	3	0	0	0	4	0	0	0	0	0	33	25	32	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
"Lactobacillus"	0	4	0	0	17	0	0	50	0	1399	946	1113	834	1804	1435	0	31	2	0	417	0	0	0	0	0	0	15	0	0
"Carnobacterium"	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2	0	0	18	0	0	0	21	0	0	0	0
"Brochothrix"	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	19	0	0	0
"Buttiauxella"	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	24
"Romboutsia"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chryseobacterium vrystaatense"	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rahnella1"	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lactobacillus delbrueckii"	0	0	0	704	846	680	531	1026	983	0	0	0	0	0	0	28	250	132	0	563	0	0	0	0	0	0	110	0	0
"Lactobacillus helveticus"	0	0	0	15	0	31	5	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psychrobacter"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lacticaseibacillus"	0	0	0	0	4	18	0	0	0	0	11	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
"Lactobacillus kefiranofaciens"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"Bacteria"	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"Chryseobacterium bovis"	0	0	0	0	0	0	0	0	0	7	0	29	28	17	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Weissella"	0	0	0	0	0	0	0	0	0	17	23	203	371	50	35	0	30	0	10	0	0	23	27	81	0	51	0	0	0
"Streptococcus parauberis"	0	0	0	0	0	0	0	0	0	13	0	0	74	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lentilactobacillus"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pedobacter"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fusobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Enterococcus durans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0
"Macrococcus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pseudomonadaceae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0
"Empedobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
"Streptococcus gallolyticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
"Thermus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0
"Anoxybacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0
"Paenibacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0
"Pseudomonas poae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0
"Paenibacillus odorifer"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0
"Gammaproteobacteria"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"Streptococcus salivarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	1012	0	0
"Lactobacillales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
"Kluyvera intermedia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
"Lactiplantibacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
"Lelliottia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
"Leuconostoc gelidum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
"Samsonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
