"NAME"	"studyId"	"llabel"	"s_type"	"n_reads2"	"n_issues"	"foodId"	"description"	"L1"	"L4"	"L6"	"nature"	"process"	"spoilage"	"target1"	"target2"	"biosample"	"SRA_sample"	"SRA_run"
"s.SRR1759381"	"ST1"	"A02QJfmsd"	"Sample"	1421	2	"A02QJ"	"mozzarella cheese, H, citric acid"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281041"	"SAMN03281041"	"SRR1759381"
"s.SRR1759382"	"ST1"	"A02QJfmsd"	"Sample"	3154	2	"A02QJ"	"mozzarella cheese, J, citric acid"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281042"	"SAMN03281042"	"SRR1759382"
"s.SRR1759383"	"ST1"	"A02QJfmsd"	"Sample"	3163	2	"A02QJ"	"mozzarella cheese, K, citric acid"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281043"	"SAMN03281043"	"SRR1759383"
"s.SRR1759384"	"ST1"	"A02QJfmbd"	"Sample"	2463	2	"A02QJ"	"mozzarella cheese, C1A"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Fermented+Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281044"	"SAMN03281044"	"SRR1759384"
"s.SRR1759385"	"ST1"	"A02QJfmbd"	"Sample"	2683	2	"A02QJ"	"mozzarella cheese, C1B"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Fermented+Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281045"	"SAMN03281045"	"SRR1759385"
"s.SRR1759386"	"ST1"	"A02QJfmbd"	"Sample"	3196	1	"A02QJ"	"mozzarella cheese, C2A"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Fermented+Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281046"	"SAMN03281046"	"SRR1759386"
"s.SRR1759387"	"ST1"	"A02QJfmbd"	"Sample"	2279	1	"A02QJ"	"mozzarella cheese, C2B"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Fermented+Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281047"	"SAMN03281047"	"SRR1759387"
"s.SRR1759388"	"ST1"	"A02QJfmbd"	"Sample"	4182	1	"A02QJ"	"mozzarella cheese, C3A"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Fermented+Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281048"	"SAMN03281048"	"SRR1759388"
"s.SRR1759389"	"ST1"	"A02QJfmbd"	"Sample"	4157	1	"A02QJ"	"mozzarella cheese, C3B"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Fermented+Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281049"	"SAMN03281049"	"SRR1759389"
"s.SRR1759390"	"ST1"	"A02QJfmbd"	"Sample"	2525	1	"A02QJ"	"mozzarella cheese, F1A"	"Milk and dairy products"	"Mozzarella"	"Mozzarella"	"Finished"	"Mild"	"Fermented+Spoiled"	"16S_DNA"	"V1-V3"	"SAMN03281050"	"SAMN03281050"	"SRR1759390"
