"OTU"	"domain"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"Chryseobacterium"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Chryseobacterium"	
"Chryseobacterium bovis"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Chryseobacterium"	"Chryseobacterium bovis"
"Flavobacterium"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	
"Pedobacter"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"	
"Thermus"	"Bacteria"	"Deinococcota"	"Deinococci"	"Thermales"	"Thermaceae"	"Thermus"	
"Anoxybacillus"	"Bacteria"	"Bacillota"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Anoxybacillus"	
"Carnobacterium"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Carnobacterium"	
"Enterococcaceae"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"		
"Enterococcus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	
"Enterococcus durans"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"Enterococcus durans"
"Enterococcus faecalis"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"Enterococcus faecalis"
"Enterococcus faecium"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"Enterococcus faecium"
"Lactobacillus delbrueckii"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus delbrueckii"
"Lactobacillus helveticus"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus helveticus"
"Lactobacillus kefiranofaciens"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus kefiranofaciens"
"Leuconostoc"	"Bacteria"	"Bacillota"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Leuconostoc"	
