id	new_id	new_species	new_genus	new_family
Lactobacillus jinshani	Acetilactobacillus jinshanensis	Acetilactobacillus jinshanensis	Acetilactobacillus	Lactobacillaceae
Lactobacillus composti	Agrilactobacillus composti	Agrilactobacillus composti	Agrilactobacillus	Lactobacillaceae
Lactobacillus yilanensis	Agrilactobacillus yilanensis	Agrilactobacillus yilanensis	Agrilactobacillus	Lactobacillaceae
Lactobacillus amylophilus	Amylolactobacillus amylophilus	Amylolactobacillus amylophilus	Amylolactobacillus	Lactobacillaceae
Lactobacillus amylotrophicus	Amylolactobacillus amylotrophicus	Amylolactobacillus amylotrophicus	Amylolactobacillus	Lactobacillaceae
Lactobacillus apinorum	Apilactobacillus apinorum	Apilactobacillus apinorum	Apilactobacillus	Lactobacillaceae
Lactobacillus bombintestini	Apilactobacillus bombintestini	Apilactobacillus bombintestini	Apilactobacillus	Lactobacillaceae
Lactobacillus kunkeei	Apilactobacillus kunkeei	Apilactobacillus kunkeei	Apilactobacillus	Lactobacillaceae
Lactobacillus micheneri	Apilactobacillus micheneri	Apilactobacillus micheneri	Apilactobacillus	Lactobacillaceae
Lactobacillus ozensis	Apilactobacillus ozensis	Apilactobacillus ozensis	Apilactobacillus	Lactobacillaceae
Lactobacillus quenuiae	Apilactobacillus quenuiae	Apilactobacillus quenuiae	Apilactobacillus	Lactobacillaceae
Lactobacillus  timberlakei	Apilactobacillus timberlakei	Apilactobacillus timberlakei	Apilactobacillus	Lactobacillaceae
Lactobacillus bombi	Bombilactobacillus bombi	Bombilactobacillus bombi	Bombilactobacillus	Lactobacillaceae
Lactobacillus mellifer	Bombilactobacillus mellifer	Bombilactobacillus mellifer	Bombilactobacillus	Lactobacillaceae
Lactobacillus mellis	Bombilactobacillus mellis	Bombilactobacillus mellis	Bombilactobacillus	Lactobacillaceae
Lactobacillus alimentarius	Companilactobacillus alimentarius	Companilactobacillus alimentarius	Companilactobacillus	Lactobacillaceae
Lactobacillus allii	Companilactobacillus allii	Companilactobacillus allii	Companilactobacillus	Lactobacillaceae
Lactobacillus baiquanensis	Companilactobacillus baiquanensis	Companilactobacillus baiquanensis	Companilactobacillus	Lactobacillaceae
Lactobacillus bobalius	Companilactobacillus bobalius	Companilactobacillus bobalius	Companilactobacillus	Lactobacillaceae
Lactobacillus crustorum	Companilactobacillus crustorum	Companilactobacillus crustorum	Companilactobacillus	Lactobacillaceae
Lactobacillus farciminis	Companilactobacillus farciminis	Companilactobacillus farciminis	Companilactobacillus	Lactobacillaceae
Lactobacillus formosensis	Companilactobacillus formosensis	Companilactobacillus formosensis	Companilactobacillus	Lactobacillaceae
Lactobacillus furfuricola	Companilactobacillus furfuricola	Companilactobacillus furfuricola	Companilactobacillus	Lactobacillaceae
Lactobacillus futsaii	Companilactobacillus futsaii	Companilactobacillus futsaii	Companilactobacillus	Lactobacillaceae
Lactobacillus ginsenosidimutans	Companilactobacillus ginsenosidimutans	Companilactobacillus ginsenosidimutans	Companilactobacillus	Lactobacillaceae
Lactobacillus halodurans	Companilactobacillus halodurans	Companilactobacillus halodurans	Companilactobacillus	Lactobacillaceae
Lactobacillus heilongjiangensis	Companilactobacillus heilongjiangensis	Companilactobacillus heilongjiangensis	Companilactobacillus	Lactobacillaceae
Lactobacillus huachuanensis 	Companilactobacillus huachuanensis 	Companilactobacillus huachuanensis 	Companilactobacillus	Lactobacillaceae
Lactobacillus hulinensis	Companilactobacillus hulinensis	Companilactobacillus hulinensis	Companilactobacillus	Lactobacillaceae
Lactobacillus insicii	Companilactobacillus insicii	Companilactobacillus insicii	Companilactobacillus	Lactobacillaceae
Lactobacillus jidongensis	Companilactobacillus jidongensis	Companilactobacillus jidongensis	Companilactobacillus	Lactobacillaceae
Lactobacillus kedongensis	Companilactobacillus kedongensis	Companilactobacillus kedongensis	Companilactobacillus	Lactobacillaceae
Lactobacillus keshanensis	Companilactobacillus keshanensis	Companilactobacillus keshanensis	Companilactobacillus	Lactobacillaceae
Lactobacillus kimchiensis	Companilactobacillus kimchiensis	Companilactobacillus kimchiensis	Companilactobacillus	Lactobacillaceae
Lactobacillus  kimchii	Companilactobacillus kimchii	Companilactobacillus kimchii	Companilactobacillus	Lactobacillaceae
Lactobacillus metriopterae	Companilactobacillus metriopterae	Companilactobacillus metriopterae	Companilactobacillus	Lactobacillaceae
Lactobacillus mindensis	Companilactobacillus mindensis	Companilactobacillus mindensis	Companilactobacillus	Lactobacillaceae
Lactobacillus mishanensis	Companilactobacillus mishanensis	Companilactobacillus mishanensis	Companilactobacillus	Lactobacillaceae
Lactobacillus musae	Companilactobacillus musae	Companilactobacillus musae	Companilactobacillus	Lactobacillaceae
Lactobacillus nantensis	Companilactobacillus nantensis	Companilactobacillus nantensis	Companilactobacillus	Lactobacillaceae
Lactobacillus nodensis	Companilactobacillus nodensis	Companilactobacillus nodensis	Companilactobacillus	Lactobacillaceae
Lactobacillus nuruki	Companilactobacillus nuruki	Companilactobacillus nuruki	Companilactobacillus	Lactobacillaceae
Lactobacillus paralimentarius	Companilactobacillus paralimentarius	Companilactobacillus paralimentarius	Companilactobacillus	Lactobacillaceae
