studyId	ref_complete	DOI
Foodmicrobionet	Parente, E., Cocolin, L., De Filippis, F., Zotta, T., Ferrocino, I., O’Sullivan, O., Neviani, E., De Angelis, M., Cotter, P. D., Ercolini, D. 2016. FoodMicrobionet: a database for the visualisation and exploration of food bacterial communities based on network analysis. Int. J. Food Microbiol. 219: 28-37.	10.1016/j.ijfoodmicro.2015.12.001
Foodmicrobionet	De Filippis, F., Parente, E., Zotta, T., Ercolini, D. 2018.A comparison of bioinformatic approaches for 16S rRNA gene profiling of food bacterial microbiota. Int. J. Food Microbiol. 265:9-17.	10.1016/j.ijfoodmicro.2017.10.028
Foodmicrobionet	Parente, E., De Filippis, F., Ercolini, D., Ricciardi, A., Zotta, T., 2019. Advancing integration of data on food microbiome studies: FoodMicrobionet 3.1, a major upgrade of the FoodMicrobionet database. Int. J. Food Microbiol. 305:108249.	10.1016/j.ijfoodmicro.2019.108249
Foodmicrobionet	Parente, E., Zotta, T., Ricciardi, A., 2022. FoodMicrobionet v4: A large, integrated, open and transparent database for food bacterial communities. Int J Food Microbiol 372, 109696.	10.1016/j.ijfoodmicro.2022.109696
ST161	Tyakht, A., Kopeliovich, A., Klimenko, N., Efimova, D., Dovidchenko, N., Odintsova, V., Kleimenov, M., Toshchakov, S., Popova, A., Khomyakova, M., Merkel, A., 2021. Characteristics of bacterial and yeast microbiomes in spontaneous and mixed-fermentation beer and cider. Food Microbiol 94: 103658. https://doi.org/10.1016/j.fm.2020.103658	10.1016/j.fm.2020.103658
ST162	Rocha-Arriaga, C., Espinal-Centeno, A., Martinez-Sánchez, S., Caballero-Pérez, J., Alcaraz, L.D., Cruz-Ramírez, A., 2020. Deep microbial community profiling along the fermentation process of pulque, a biocultural resource of Mexico. Microbiol Res 241, 126593. https://doi.org/10.1016/j.micres.2020.126593	10.1016/j.micres.2020.126593
ST200	Kamilari, E., Mina, M., Karallis, C., Tsaltas, D., 2021. Metataxonomic analysis of grape microbiota during wine fermentation reveals the distinction of Cyprus regional terroirs. Front Microbiol 12, 726483. https://doi.org/10.3389/fmicb.2021.726483	10.3389/fmicb.2021.726483
ST237	Kordowska-Wiater, M., Pytka, M., Stój, A., Kubik-Komar, A., Wyrostek, J., Waśko, A., 2022. A metagenetic insight into microbial diversity of spontaneously fermented Polish red wines and an analysis of selected physicochemical properties. Appl Sci 12, 4373. https://doi.org/10.3390/app12094373	10.3390/app12094373
ST241	Djeni, T.N., Keisam, S., Kouame, K.H., Assohoun-Djeni, C.N., Ake, F.D.M., Amoikon, L.S.T., Tuikhar, N., Labala, R.K., Dje, M.K., Jeyaram, K., 2022. Dynamics of microbial populations and metabolites of fermenting saps throughout tapping process of ron and oil palm trees in Côte d’Ivoire. Front. Microbiol. 13, 954917. https://doi.org/10.3389/fmicb.2022.954917	10.3389/fmicb.2022.954917
ST243	Martiniuk, J.T., Hamilton, J., Dodsworth, T., Measday, V., 2023. Grape-associated fungal community patterns persist from berry to wine on a fine geographical scale. FEMS Yeast Res. 23, foac067. https://doi.org/10.1093/femsyr/foac067	10.1093/femsyr/foac067
